SITE_NO,RSQA_STUDY,RSQA_STUDY_DESC,STATION_NM,LAT_VA,LONG_VA,DEC_LAT_VA,DEC_LONG_VA,COORD_METH_DESC,COORD_ACY_DESC,COORD_DATUM_CD,COUNTY_NM,STATE_NM,STATE_ABBREV
11159500,CSQA,California Stream-Quality Assessment,PAJARO R A WATSONVILLE CA,365420.2,1214506.8,36.90561111,-121.7518889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Cruz County,California,CA
3.74933E+14,CSQA,California Stream-Quality Assessment,SAN RAMON C A LA GONDA WAY A DANVILLE CA,374932.56,1220012.74,37.82571111,-122.0035389,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Contra Costa County,California,CA
11164500,CSQA,California Stream-Quality Assessment,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,372524,1221118,37.42327257,-122.1894095,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Clara County,California,CA
3.725E+14,CSQA,California Stream-Quality Assessment,MATADERO C A JOSINA AVE A PALO ALTO CA,372500.48,1220811.73,37.4168,-122.1365917,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
11152000,CSQA,California Stream-Quality Assessment,ARROYO SECO NR SOLEDAD CA,361650,1211918,36.28052076,-121.3227063,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
11150500,CSQA,California Stream-Quality Assessment,SALINAS R NR BRADLEY CA,355549,1205204,35.93024343,-120.8687915,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Monterey County,California,CA
3.64003E+14,CSQA,California Stream-Quality Assessment,ALISAL C A FAIRVIEW AVE NR SALINAS CA,364002.1,1213737.2,36.66725,-121.627,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
11152650,CSQA,California Stream-Quality Assessment,RECLAMATION DITCH NR SALINAS CA,364218,1214214,36.70495861,-121.7049475,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
3.65736E+14,CSQA,California Stream-Quality Assessment,PACHECO C A SAN FELIPE RD NR DUNNEVILLE CA,365736,1212508.39,36.96,-121.4189972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Benito County,California,CA
3.65634E+14,CSQA,California Stream-Quality Assessment,TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA,365633.72,1212640.2,36.9427,-121.4445,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Benito County,California,CA
3.64155E+14,CSQA,California Stream-Quality Assessment,NATIVIDAD C NR SALINAS CA,364155.32,1213638.6,36.6987,-121.6107222,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
3.64138E+14,CSQA,California Stream-Quality Assessment,GABILAN C AB E LAUREL DR NR SALINAS CA,364138.27,1213738.11,36.69396389,-121.6272528,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
11152600,CSQA,California Stream-Quality Assessment,GABILAN C NR SALINAS CA,364521,1213634,36.75579196,-121.6105005,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
3.63608E+14,CSQA,California Stream-Quality Assessment,CHUALAR C A CHUALAR CANYON RD NR CHUALAR CA,363607.92,1212551.59,36.6022,-121.4309972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
3.7162E+14,CSQA,California Stream-Quality Assessment,SARATOGA C A BRAEMAR DR A SARATOGA CA,371620.1,1220058.64,37.27225,-122.0162889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.71738E+14,CSQA,California Stream-Quality Assessment,LOS GATOS C A E HAMILTON AVE NR CAMPBELL CA,371738.04,1215558.8,37.2939,-121.933,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.71814E+14,CSQA,California Stream-Quality Assessment,GUADALUPE R A WILLOW GLEN WAY NR SAN JOSE CA,371814.21,1215256.1,37.30394722,-121.88225,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.71554E+14,CSQA,California Stream-Quality Assessment,COYOTE C A COYOTE RD NR SAN JOSE CA,371553.78,1214740.77,37.26493889,-121.7946583,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
11466200,CSQA,California Stream-Quality Assessment,SANTA ROSA C A SANTA ROSA CA,382612,1224325,38.4365787,-122.7247096,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Sonoma County,California,CA
3.82346E+14,CSQA,California Stream-Quality Assessment,UNNAMED TRIB A MONTGOMERY RD NR SEBASTOPOL CA,382346.05,1225212.14,38.396125,-122.8700389,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
11466320,CSQA,California Stream-Quality Assessment,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA,382643,1224822,38.44519026,-122.8072129,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
11466800,CSQA,California Stream-Quality Assessment,MARK WEST C NR MIRABEL HEIGHTS CA,382939,1225108,38.49407838,-122.8533258,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
3.83039E+14,CSQA,California Stream-Quality Assessment,WINDSOR C A MARK WEST STATION RD NR WINDSOR CA,383039.34,1225024.39,38.51092778,-122.8401083,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
11466170,CSQA,California Stream-Quality Assessment,MATANZAS C A SANTA ROSA CA,382620,1224205,38.43880073,-122.7024867,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
11465350,CSQA,California Stream-Quality Assessment,DRY C NR MOUTH NR HEALDSBURG CA,383515,1225140,38.58741046,-122.8622159,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Sonoma County,California,CA
3.83719E+14,CSQA,California Stream-Quality Assessment,MAACAMA C A CHALK HILL RD BR NR HEALDSBURG CA,383719.05,1224625.28,38.62195833,-122.7736889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
11169025,CSQA,California Stream-Quality Assessment,GUADALUPE R ABV HWY 101 A SAN JOSE CA,372226,1215555,37.37382961,-121.9330129,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Santa Clara County,California,CA
3.65955E+14,CSQA,California Stream-Quality Assessment,UVAS C A MILLER AVE A GILROY CA,365954.72,1213505.85,36.99853333,-121.5849583,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.70512E+14,CSQA,California Stream-Quality Assessment,LLAGAS C A SAN MARTIN AVE A SAN MARTIN CA,370512.27,1213618.74,37.08674167,-121.6052056,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
11176900,CSQA,California Stream-Quality Assessment,ARROYO DE LA LAGUNA A VERONA CA,373736,1215255,37.62659915,-121.8830126,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Alameda County,California,CA
3.74708E+14,CSQA,California Stream-Quality Assessment,SAUSAL C A OAKLAND CA,374708.45,1221327.62,37.78568056,-122.2243389,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Alameda County,California,CA
3.74336E+14,CSQA,California Stream-Quality Assessment,SAN LEANDRO C A ALVARADO ST A SAN LEANDRO CA,374335.79,1220958.24,37.72660833,-122.1661778,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Alameda County,California,CA
11182500,CSQA,California Stream-Quality Assessment,SAN RAMON C A SAN RAMON CA,374623,1215937,37.77298302,-121.9946825,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Contra Costa County,California,CA
